variant,approximation,proposal,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,mean_beta0,mean_beta1,mean_sigma,mean_s,nfev,output,stdout
normal_random,normal,random,5,2026062605,18.176111084059812,49,True,100,50,254760.06076308142,4472.295508312496,1888.986834848264,1259733462.050794,-55000.024920114585,1168.1741845871925,13031.309864358005,744.9736741135694,1709598,draws/transport_random_trials/normal_random_05.h5,means:  -55000 1168.17 13031.3 744.974 | stds: 7036.75 104.974 173.167 254.416 | Number log_density evals: 1709598 | Acceptance rate: 0.9831 | Output: draws/transport_random_trials/normal_random_05.h5
sas_random,sas,random,6,2026062606,18.065292000072077,3556,True,100,32,4003.4498713994694,144.4592628922257,1.8988270682009745,450010788.73796886,-54960.364158760356,1167.5702943096428,13035.52942979565,718.8765096555686,1708643,draws/transport_random_trials/sas_random_06.h5,means: -54960.4  1167.57  13035.5  718.877 | stds: 7103.24  105.94 159.368 228.407 | Number log_density evals: 1708643 | Acceptance rate: 0.982567 | Output: draws/transport_random_trials/sas_random_06.h5
normal_random,normal,random,6,2026062606,18.640339666977525,38,True,100,88,6328455.1811158,90372.82128411051,137643.214645114,308277591.9377352,-0.7358607856051369,349.3163674091001,26345.248829789693,0.17860140742445496,1754980,draws/transport_random_trials/normal_random_06.h5,means: -0.735861   349.316   26345.2  0.178601 | stds:    1.15105    39.1848    103.296 0.00152369 | Number log_density evals: 1754980 | Acceptance rate: 0.423467 | Output: draws/transport_random_trials/normal_random_06.h5
sas_random,sas,random,7,2026062607,17.766174416989088,4898,True,100,64,8937455.797575759,142332.72728737144,564274.932112573,8981516403.7897,-54720.62135565614,1164.012029630855,13034.884129436517,724.863205750476,1685767,draws/transport_random_trials/sas_random_07.h5,means: -54720.6  1164.01  13034.9  724.863 | stds:  6756.8 100.805 164.228 240.046 | Number log_density evals: 1685767 | Acceptance rate: 0.913067 | Output: draws/transport_random_trials/sas_random_07.h5
normal_random,normal,random,7,2026062607,19.82005908305291,20524,True,100,87,2731.547771641945,530.1320109145547,30768.310170257562,13859035723.804375,-31748.312609620723,821.7296402024205,13107.125946590982,540.0206853731586,1889765,draws/transport_random_trials/normal_random_07.h5,means: -31748.3   821.73  13107.1  540.021 | stds: 25432.9 379.001 179.921 295.824 | Number log_density evals: 1889765 | Acceptance rate: 0.969667 | Output: draws/transport_random_trials/normal_random_07.h5
sas_random,sas,random,8,2026062608,18.003500499995425,273,True,100,80,139362.79976449956,5726.6660629740545,125538.16448090153,41924300165.677536,-55997.60658559413,1183.0504702785047,13035.202622219253,737.6696937068145,1704758,draws/transport_random_trials/sas_random_08.h5,means: -55997.6  1183.05  13035.2   737.67 | stds: 6837.32 101.961  165.79 232.712 | Number log_density evals: 1704758 | Acceptance rate: 0.990867 | Output: draws/transport_random_trials/sas_random_08.h5
normal_random,normal,random,8,2026062608,15.162439874955453,27,True,100,72,3242174.2106482834,43191.43651316804,114725.46640107452,1874668.6025002024,-12.179261992006865,347.43984927634773,16297.04077174484,7.081267421686147,1401832,draws/transport_random_trials/normal_random_08.h5,means: -12.1793   347.44    16297  7.08127 | stds: 105.939 9.59853 1218.26 1.47637 | Number log_density evals: 1401832 | Acceptance rate: 0.849533 | Output: draws/transport_random_trials/normal_random_08.h5
sas_random,sas,random,9,2026062609,17.69007316592615,12891,True,100,87,380111.01221964275,9370.952319923184,95361.3855243954,1799718973.0897129,-55137.04979604778,1170.2083307116684,13006.15328254608,722.666160879539,1665845,draws/transport_random_trials/sas_random_09.h5,means:  -55137 1170.21 13006.2 722.666 | stds:  7099.5 105.905 153.664 228.644 | Number log_density evals: 1665845 | Acceptance rate: 0.9357 | Output: draws/transport_random_trials/sas_random_09.h5
normal_random,normal,random,9,2026062609,18.08265358407516,17,True,100,93,6318246.96405093,95669.39802065855,123652.02856635912,77122873284.61702,-54377.20852964617,1158.8754619153572,13052.516458396622,730.7343689713402,1723217,draws/transport_random_trials/normal_random_09.h5,means: -54377.2  1158.88  13052.5  730.734 | stds: 6556.32 97.7919 159.738 241.615 | Number log_density evals: 1723217 | Acceptance rate: 0.9841 | Output: draws/transport_random_trials/normal_random_09.h5
sas_random,sas,random,10,2026062610,17.94424241699744,3779,True,100,70,1607965.5247616994,23848.439976174624,17280.048306790795,119564.72228939307,-56066.257086290614,1184.1104281940895,13044.14485861227,725.7407259732094,1700177,draws/transport_random_trials/sas_random_10.h5,means: -56066.3  1184.11  13044.1  725.741 | stds: 6904.37 103.016 166.377 221.292 | Number log_density evals: 1700177 | Acceptance rate: 0.9693 | Output: draws/transport_random_trials/sas_random_10.h5
normal_random,normal,random,10,2026062610,17.939466541982256,77,True,100,54,896742.5185807142,10635.23096122435,168157.53510918978,2739070794.068406,-55674.794928162584,1178.2429312331021,13048.15600373956,726.0696732519084,1703417,draws/transport_random_trials/normal_random_10.h5,means: -55674.8  1178.24  13048.2   726.07 | stds: 6879.33 102.597 165.564 234.034 | Number log_density evals: 1703417 | Acceptance rate: 0.967133 | Output: draws/transport_random_trials/normal_random_10.h5
sas_random,sas,random,11,2026062611,18.200739125022665,8431,True,100,34,1330.4414606279304,40.823913632383494,0.33684238926404286,67717226.6920139,-55419.78474415297,1174.4442473274119,13040.156405333179,735.1790014510525,1722243,draws/transport_random_trials/sas_random_11.h5,means: -55419.8  1174.44  13040.2  735.179 | stds: 6512.07 97.1343 154.095 235.491 | Number log_density evals: 1722243 | Acceptance rate: 0.973333 | Output: draws/transport_random_trials/sas_random_11.h5
normal_random,normal,random,11,2026062611,99.34095437498763,1925,True,100,85,45503343.119898476,676937.9614988118,3877978.32135275,72207566210.08568,-47178.83346762882,1051.603323495315,13447.901921873707,5.262573863658723e-30,10208827,draws/transport_random_trials/normal_random_11.h5,means:    -47178.8      1051.6     13447.9 5.26257e-30 | stds:     18770.1     279.643     1147.18 0.000577254 | Number log_density evals: 10208827 | Acceptance rate: 0.5461 | Output: draws/transport_random_trials/normal_random_11.h5
sas_random,sas,random,12,2026062612,18.245266624959186,91,True,100,40,126696.74473788327,1732.9485217192441,1085.2889626105775,12449224595.673397,-55494.58442448586,1175.5861391205417,13036.377694982779,710.536170774074,1728185,draws/transport_random_trials/sas_random_12.h5,means: -55494.6  1175.59  13036.4  710.536 | stds:  6621.8  98.784 164.538 231.217 | Number log_density evals: 1728185 | Acceptance rate: 0.958733 | Output: draws/transport_random_trials/sas_random_12.h5
normal_random,normal,random,12,2026062612,38.0611923339311,31,True,100,70,323507714.2780002,4705132.081939225,4734025.325358114,10557211995.798702,0.0001618687022762025,-0.0460618775809546,256505.96554466893,2.145956313453912e-05,3755552,draws/transport_random_trials/normal_random_12.h5,means: 0.000161869  -0.0460619      256506 2.14596e-05 | stds: 0.000577254 0.000577254 0.000577254 0.000577254 | Number log_density evals: 3755552 | Acceptance rate: 0.2548 | Output: draws/transport_random_trials/normal_random_12.h5
sas_random,sas,random,13,2026062613,18.016568916966207,14,True,100,79,404152.7147498881,4312.368203295383,98169.23079943948,191565680.57764906,-55141.020647923586,1170.2774336470727,13046.862063270899,719.6187283243155,1700209,draws/transport_random_trials/sas_random_13.h5,means:  -55141 1170.28 13046.9 719.619 | stds: 6707.62  100.06 176.032 228.564 | Number log_density evals: 1700209 | Acceptance rate: 0.961733 | Output: draws/transport_random_trials/sas_random_13.h5
normal_random,normal,random,13,2026062613,18.191848375019617,5912,True,100,64,5938.533656638126,1239.6031895806193,29034.132343018602,144163910.37311476,-54826.00323381455,1165.553690507195,13042.478172987825,724.5671462592514,1715243,draws/transport_random_trials/normal_random_13.h5,means:  -54826 1165.55 13042.5 724.567 | stds: 7085.84 105.689 173.323 220.422 | Number log_density evals: 1715243 | Acceptance rate: 0.9825 | Output: draws/transport_random_trials/normal_random_13.h5
sas_random,sas,random,14,2026062614,19.83014312502928,18163,True,100,61,16468.98033557683,422.0603057465024,17038.941599431393,10323829044.087383,-42779.535549950015,986.1873988282847,13081.252373937932,627.162646341928,1890695,draws/transport_random_trials/sas_random_14.h5,means: -42779.5  986.187  13081.3  627.163 | stds:   23110 344.446 180.115 288.488 | Number log_density evals: 1890695 | Acceptance rate: 0.963167 | Output: draws/transport_random_trials/sas_random_14.h5
normal_random,normal,random,14,2026062614,17.988806541077793,63,True,100,55,1454576.5201841681,21843.748930769576,58553.24036039033,1822797699.7319279,-55352.29907631498,1173.470590022669,13047.355211269556,718.1769661051602,1697727,draws/transport_random_trials/normal_random_14.h5,means: -55352.3  1173.47  13047.4  718.177 | stds: 6728.97 100.401 161.464 218.688 | Number log_density evals: 1697727 | Acceptance rate: 0.9928 | Output: draws/transport_random_trials/normal_random_14.h5
sas_random,sas,random,15,2026062615,18.079991000005975,9073,True,100,87,19341.088432865068,764.2796609179868,33426.916810866984,7684966468.336573,-54893.963822197955,1166.5849779433818,13058.561293864625,737.7467356423398,1706626,draws/transport_random_trials/sas_random_15.h5,means:  -54894 1166.58 13058.6 737.747 | stds: 7078.14 105.573 173.264 241.564 | Number log_density evals: 1706626 | Acceptance rate: 0.980433 | Output: draws/transport_random_trials/sas_random_15.h5
normal_random,normal,random,15,2026062615,18.191862583975308,742,True,100,24,14399.761664355003,362.74072417993244,0.7998352358985399,6126.860703545272,-55726.457361146844,1179.0092832973032,13031.235797098432,726.7241469810814,1729540,draws/transport_random_trials/normal_random_15.h5,means: -55726.5  1179.01  13031.2  726.724 | stds: 6971.69 104.022 162.268 225.637 | Number log_density evals: 1729540 | Acceptance rate: 0.9586 | Output: draws/transport_random_trials/normal_random_15.h5
sas_random,sas,random,16,2026062616,19.78527374996338,15992,True,100,71,684.637418690232,404.387838251273,13363.83457833902,31.260874239466354,-52314.8851107111,1128.2013757164361,13057.439530796748,697.9288547441699,1872333,draws/transport_random_trials/sas_random_16.h5,means: -52314.9   1128.2  13057.4  697.929 | stds: 16860.1 251.245 169.396 252.476 | Number log_density evals: 1872333 | Acceptance rate: 0.961133 | Output: draws/transport_random_trials/sas_random_16.h5
normal_random,normal,random,16,2026062616,42.868521208059974,75,True,100,49,97212265.99000096,1487849.147719427,978005.8714715113,1026345161.1679976,-7.21434846099419e-05,-0.10361180826771957,172394.32556866432,5.651437490247688e-06,4271468,draws/transport_random_trials/normal_random_16.h5,means: -7.21435e-05    -0.103612       172394  5.65144e-06 | stds: 0.000577254 0.000577254 0.000577254 0.000577254 | Number log_density evals: 4271468 | Acceptance rate: 0.2154 | Output: draws/transport_random_trials/normal_random_16.h5
sas_random,sas,random,17,2026062617,18.163473917054944,92,True,100,39,789184.3211574368,8225.516035374898,55065.37121380388,6494050.650260756,-55402.5629422247,1174.1790255499054,13042.929615113057,728.6544826417894,1725036,draws/transport_random_trials/sas_random_17.h5,means: -55402.6  1174.18  13042.9  728.654 | stds: 7074.94 105.495 168.052 227.662 | Number log_density evals: 1725036 | Acceptance rate: 0.928133 | Output: draws/transport_random_trials/sas_random_17.h5
normal_random,normal,random,17,2026062617,19.934643832966685,16760,True,100,89,210.2821440022416,117.9064799779314,21475.95750043768,0.0355958634017506,-45386.491001796996,1024.9287451720782,13071.257631991504,666.0517529086113,1881535,draws/transport_random_trials/normal_random_17.h5,means: -45386.5  1024.93  13071.3  666.052 | stds: 18551.7 276.462 178.638 267.665 | Number log_density evals: 1881535 | Acceptance rate: 0.966333 | Output: draws/transport_random_trials/normal_random_17.h5
sas_random,sas,random,18,2026062618,17.95820650004316,35,True,100,64,2506438.7514937697,37755.456821505504,159777.93366980983,2010474146.1835158,-55690.21642227513,1178.443236732631,13047.412753848195,730.5585974884032,1708929,draws/transport_random_trials/sas_random_18.h5,means: -55690.2  1178.44  13047.4  730.559 | stds: 6653.29 99.2357  160.71 232.951 | Number log_density evals: 1708929 | Acceptance rate: 0.9936 | Output: draws/transport_random_trials/sas_random_18.h5
normal_random,normal,random,18,2026062618,18.498059540987015,11860,True,100,78,17955.665502147447,10253.449371597975,169786.11569083566,0.1804380225192455,-54668.51605128543,1163.2440376786235,13013.699569086804,733.3884722353083,1747781,draws/transport_random_trials/normal_random_18.h5,means: -54668.5  1163.24  13013.7  733.388 | stds: 6355.35 94.8077 173.072 227.908 | Number log_density evals: 1747781 | Acceptance rate: 0.974167 | Output: draws/transport_random_trials/normal_random_18.h5
sas_random,sas,random,19,2026062619,18.713711749995127,3521,True,100,79,2006317.22303728,35450.87985694073,26328.17572944224,144.57109599901983,22804.182773309858,4.79724381579668,13369.536518769457,304.33220549356,1771593,draws/transport_random_trials/sas_random_19.h5,means: 22804.2 4.79724 13369.5 304.332 | stds: 633.275 7.36773  171.26  277.42 | Number log_density evals: 1771593 | Acceptance rate: 0.711667 | Output: draws/transport_random_trials/sas_random_19.h5
normal_random,normal,random,19,2026062619,19.577968791942112,17843,True,100,87,326.5874702216832,160.1975768724377,17389.077079515355,0.021092526630638476,-43810.99511889542,1001.4204788638491,13075.832398137352,632.111896698505,1859904,draws/transport_random_trials/normal_random_19.h5,means:  -43811 1001.42 13075.8 632.112 | stds: 22643.1 337.294 178.237  293.71 | Number log_density evals: 1859904 | Acceptance rate: 0.9792 | Output: draws/transport_random_trials/normal_random_19.h5
